order_id,product,category,price,quantity
28,Chair,Furniture,8500,6
79,Pen,Stationery,30,3
62,Mouse,Electronics,850,3
92,Mouse,Electronics,850,3
35,Keyboard,Electronics,1500,4
98,Chair,Furniture,8500,6
54,Pen,Stationery,30,5
52,Mouse,Electronics,850,3
65,Keyboard,Electronics,1500,4
39,Pen,Stationery,30,3
25,Keyboard,Electronics,1500,4
9,Pen,Stationery,30,3
75,Keyboard,Electronics,1500,4
18,Chair,Furniture,8500,6
8,Chair,Furniture,8500,6
14,Pen,Stationery,30,5
84,Pen,Stationery,30,5
94,Pen,Stationery,30,5
95,Keyboard,Electronics,1500,4
32,Mouse,Electronics,850,3
19,Pen,Stationery,30,3
34,Pen,Stationery,30,5
49,Pen,Stationery,30,3
69,Pen,Stationery,30,3
64,Pen,Stationery,30,5
2,Mouse,Electronics,850,3
89,Pen,Stationery,30,3
55,Keyboard,Electronics,1500,4
68,Chair,Furniture,8500,6
12,Mouse,Electronics,850,3
59,Pen,Stationery,30,3
24,Pen,Stationery,30,5
74,Pen,Stationery,30,5
4,Pen,Stationery,30,5
44,Pen,Stationery,30,5
5,Keyboard,Electronics,1500,4
88,Chair,Furniture,8500,6
72,Mouse,Electronics,850,3
48,Chair,Furniture,8500,6
82,Mouse,Electronics,850,3
22,Mouse,Electronics,850,3
45,Keyboard,Electronics,1500,4
38,Chair,Furniture,8500,6
99,Pen,Stationery,30,3
42,Mouse,Electronics,850,3
15,Keyboard,Electronics,1500,4
85,Keyboard,Electronics,1500,4
29,Pen,Stationery,30,3
58,Chair,Furniture,8500,6
78,Chair,Furniture,8500,6
