order_id,product,category,price,quantity
1,Notebook,Stationery,45,1
2,Mouse,Electronics,850,3
3,Chair,Furniture,8500,2
4,Pen,Stationery,30,5
5,Keyboard,Electronics,1500,4
6,Notebook,Stationery,45,1
7,Mouse,Electronics,850,2
8,Chair,Furniture,8500,6
9,Pen,Stationery,30,3
10,Keyboard,Electronics,1500,1
11,Notebook,Stationery,45,1
12,Mouse,Electronics,850,3
13,Chair,Furniture,8500,2
14,Pen,Stationery,30,5
15,Keyboard,Electronics,1500,4
16,Notebook,Stationery,45,1
17,Mouse,Electronics,850,2
18,Chair,Furniture,8500,6
19,Pen,Stationery,30,3
20,Keyboard,Electronics,1500,1
21,Notebook,Stationery,45,1
22,Mouse,Electronics,850,3
23,Chair,Furniture,8500,2
24,Pen,Stationery,30,5
25,Keyboard,Electronics,1500,4
26,Notebook,Stationery,45,1
27,Mouse,Electronics,850,2
28,Chair,Furniture,8500,6
29,Pen,Stationery,30,3
30,Keyboard,Electronics,1500,1
31,Notebook,Stationery,45,1
32,Mouse,Electronics,850,3
33,Chair,Furniture,8500,2
34,Pen,Stationery,30,5
35,Keyboard,Electronics,1500,4
36,Notebook,Stationery,45,1
37,Mouse,Electronics,850,2
38,Chair,Furniture,8500,6
39,Pen,Stationery,30,3
40,Keyboard,Electronics,1500,1
41,Notebook,Stationery,45,1
42,Mouse,Electronics,850,3
43,Chair,Furniture,8500,2
44,Pen,Stationery,30,5
45,Keyboard,Electronics,1500,4
46,Notebook,Stationery,45,1
47,Mouse,Electronics,850,2
48,Chair,Furniture,8500,6
49,Pen,Stationery,30,3
50,Keyboard,Electronics,1500,1
51,Notebook,Stationery,45,1
52,Mouse,Electronics,850,3
53,Chair,Furniture,8500,2
54,Pen,Stationery,30,5
55,Keyboard,Electronics,1500,4
56,Notebook,Stationery,45,1
57,Mouse,Electronics,850,2
58,Chair,Furniture,8500,6
59,Pen,Stationery,30,3
60,Keyboard,Electronics,1500,1
61,Notebook,Stationery,45,1
62,Mouse,Electronics,850,3
63,Chair,Furniture,8500,2
64,Pen,Stationery,30,5
65,Keyboard,Electronics,1500,4
66,Notebook,Stationery,45,1
67,Mouse,Electronics,850,2
68,Chair,Furniture,8500,6
69,Pen,Stationery,30,3
70,Keyboard,Electronics,1500,1
71,Notebook,Stationery,45,1
72,Mouse,Electronics,850,3
73,Chair,Furniture,8500,2
74,Pen,Stationery,30,5
75,Keyboard,Electronics,1500,4
76,Notebook,Stationery,45,1
77,Mouse,Electronics,850,2
78,Chair,Furniture,8500,6
79,Pen,Stationery,30,3
80,Keyboard,Electronics,1500,1
81,Notebook,Stationery,45,1
82,Mouse,Electronics,850,3
83,Chair,Furniture,8500,2
84,Pen,Stationery,30,5
85,Keyboard,Electronics,1500,4
86,Notebook,Stationery,45,1
87,Mouse,Electronics,850,2
88,Chair,Furniture,8500,6
89,Pen,Stationery,30,3
90,Keyboard,Electronics,1500,1
91,Notebook,Stationery,45,1
92,Mouse,Electronics,850,3
93,Chair,Furniture,8500,2
94,Pen,Stationery,30,5
95,Keyboard,Electronics,1500,4
96,Notebook,Stationery,45,1
97,Mouse,Electronics,850,2
98,Chair,Furniture,8500,6
99,Pen,Stationery,30,3
100,Keyboard,Electronics,1500,1
